username,full_text,created_at
flnhptriii,Hebat Ganjar gak cuma datang buat kuliah umum tp juga dengerin keluh kesah mahasiswa. Ganjar Presiden https://t.co/nTvqTpTW5m,Thu Oct 05 09:45:11 +0000 2023
Aqua_menn,Tengah malam masuk IGD. Yapp sebuah keluh kesah mahasiswa tingkat akhir #gws https://t.co/s6YwuXD7QN,Sun Mar 10 17:48:30 +0000 2024
xserunai,isinya keluh kesah mahasiswa semester akhir makasih lho saran yang tidak membantu itu @dwudung https://t.co/QF54qtVn0c,Fri Mar 10 13:34:55 +0000 2023
wufyujake,Keluh kesah mahasiswa pertengahan yg gk nyesel si tapi nyesel wkwkwk Makkk maw pulang makkk butuh tikett pp seminggu aja gk ngapa dah butuh hirup udara indo banget utk menghilangkan stress (Maap aku sambat) https://t.co/GpUqrVrg1H,Sun Apr 21 20:39:56 +0000 2024
filsafatmu,Dari ketidakakraban mahasiswa dengan tradisi membaca kemudian muncul sebuah asumsi imajinatif dalam kepala saya bahwa dewasa ini mahasiswa dan masyarakat umum tidak berbeda sama sekali kecuali bahwa mahasiswa itu punya jas almamater dan ka-te-em. Candrika Adhiyasa,Sat Oct 29 14:29:12 +0000 2022
sound_of_syilla,Keluh kesah mahasiswa semester akhir dgn kendala repository error berjamaah https://t.co/nKodTqkw1W,Mon Apr 15 16:03:15 +0000 2024
arkaaikum,keluh kesah mahasiswa yg punya warung https://t.co/RWRgXxnrxF,Fri Dec 15 02:06:57 +0000 2023
UPIfess,Selamat ulang tahun ya !upi fess terimakasih telah menjadi base kesayangan mahasiswa upi buat berbagi info n keluh kesah sukses selalu lopp️️ https://t.co/7VMK4Dy2xM,Fri Jan 12 06:27:10 +0000 2024
Nikholssss,Keluh kesah mahasiswa Ekstensi :') https://t.co/KorbrtzpnW,Thu Feb 23 15:04:25 +0000 2023
listifebrii,Keluh kesah mahasiswa semester 4,Thu Apr 06 00:58:21 +0000 2023
